YPH,Tmax,Tmin,RH830,RH1430,RF,Rday,S,Sday,W,ETo,clud
,29,22.6,82,76,136.7,15,6.5,29,1.85,132.1584176,2.790728937
,26.7,22.1,85,86,257.2,21,3.5,18,2.07,98.00159313,3.831024416
,25.8,21.5,86,86,478.3,28,3.05,14,2.2,94.58012868,3.986899724
,26.5,21.1,83,81,145.2,16,3.45,20,1.92,100.7286212,3.389113747
,27.2,21.6,83,79,247.3,20,5.71,23,1.96,111.9542916,3.305617058
,27.7,21.5,83,80,202.2,18,7.86,25,1.95,124.5278529,3.012786469
,27.3,19.3,82,75,103.5,13,7.17,24,1.81,104.8283449,2.053953465
,29.7,19.9,80,65,29.3,3,6.52,29,1.64,105.3286036,1.309695403
,30.5,19,79,53,6.5,1,6.82,30,1.49,111.8881434,0.892696728
,31.5,19.8,80,46,0,0,8.88,28,1.4,122.2562655,0.853374526
,33.6,22.4,80,41,39.6,3,8.7,31,1.39,151.7841996,0.906792147
,35.3,24.7,79,48,90.9,13,8.55,30,1.47,161.9125444,0.995832226
,31.5,23.8,80,69,161.3,16,7.44,24,1.76,149.4585066,2.076918382
,27.9,22.6,84,83,123.3,15,3.88,1,1.95,104.120262,3.450013058
,28.3,22.1,82,76,288.5,22,2.79,12,1.94,102.2070243,2.90354002
,26.7,22.1,85,85,163.8,17,4.85,26,2,109.7191955,3.85583892
,28.4,21.9,83,80,323.4,23,6.6,24,2.01,121.4836208,2.79115556
,28.1,21.7,84,83,183.6,18,7.52,20,1.98,122.4593053,2.911274138
,29,20.3,81,73,43,4,7.48,26,1.75,112.2657707,1.740501331
,28.2,20.3,82,76,14.7,3,6.89,29,1.78,103.5717944,2.190675821
,30.7,18.7,79,53,0,0,7,31,1.48,112.202808,0.840179332
,32.9,21.1,79,51,3.3,1,8.96,28,1.46,127.5507496,0.862036226
,34.3,23.8,79,50,3.9,1,8.32,31,1.44,155.4884946,1.089672012
,31.1,23.1,81,72,64.5,11,9.42,31,1.74,155.9910408,2.014686891
,30.5,23.3,82,76,51.1,5,6.67,30,1.8,137.5751213,2.382188005
,26.5,22.6,87,89,153.5,16,3.39,10,2.05,95.21448554,4.202543529
,25.7,22.3,87,90,251,21,3.04,9,2.13,93.31810534,4.403127919
,25.8,21.9,87,89,210.5,19,4.09,13,2.09,100.4324095,4.184300883
,26.4,21.4,87,88,253.3,21,5.39,20,2.11,104.1452277,3.625018852
,28.4,21,83,78,156.3,16,7.85,25,1.89,125.1337809,2.251212393
,29,19.8,80,69,22.9,2,7.29,26,1.69,111.3921294,1.434816277
,29.2,19,79,63,0,0,6.88,31,1.59,106.3275644,1.118498687
,31.1,19.4,79,53,0,0,7.24,31,1.47,114.9950832,0.827544605
,33.4,18.9,81,40,1.3,1,8.86,28,1.35,126.67786,0.672642507
,33.8,22.4,79,47,1.1,1,9.15,31,1.42,158.0933938,0.839781378
,32.7,23.9,79,62,97,13,8.61,30,1.64,156.1178764,1.491965104
,29.4,23,83,80,187.8,18,6.94,29,1.93,136.9853832,2.715255315
,25.5,22.2,88,90,265.6,21,3.71,18,2.14,94.0971709,4.411850534
,25,21.8,88,91,362.9,25,4.41,22,2.22,99.29160919,4.445764729
,25.5,21.9,87,89,145.1,16,3.7,23,2.05,96.73295804,4.272052218
,26.4,21.6,86,88,96.1,13,6.63,26,2.01,113.2184,3.668660329
,27.3,21.7,86,86,178.9,17,9.18,29,2.03,128.8457054,3.24179089
,27.7,19.7,83,81,10.4,2,5.84,26,1.86,99.10147735,1.89933167
,27.7,19.2,81,73,10,3,6.78,28,1.73,102.0816538,1.701766095
,29.6,17.4,79,57,2.5,1,6.72,30,1.52,108.2004176,0.753504143
,31.8,20.3,79,55,0,0,7.31,28,1.5,115.2151298,0.814117907
,31.7,22.5,79,65,0,0,8.18,31,1.62,146.8993176,1.318628257
,30.4,22.9,82,77,1.6,1,8.44,30,1.79,145.8341651,2.051933424
,27.4,22.7,87,89,23.6,3,6.16,26,1.98,120.6397974,3.678938735
,26.1,22.6,87,90,54.9,6,3.81,23,2.03,96.39648751,4.291914369
,25.1,22,88,92,71,29,3.65,21,2.05,94.87499359,4.457437688
,25.4,21.8,87,89,101.6,31,3.46,19,2.03,94.81058356,4.238039031
,26.6,21.8,85,86,13,2,6.21,28,1.93,111.8806259,3.617637162
,27.2,21.7,85,85,16,2,7.18,27,1.92,116.8491356,3.244869927
,27,19.9,84,83,7.3,3,7.93,29,1.88,107.1246534,2.318561388
,28.8,19.6,80,68,0,0,6.75,31,1.66,104.2346508,1.353022746
,30.2,19.5,79,60,0,0,7.4,31,1.55,114.2081041,0.941297581
,31.9,20.5,79,49,0,0,7.84,28,1.43,118.0400108,0.819539438
,33.6,23,79,57,3.6,1,8.22,23,1.53,153.0726089,0.931856528
,29.5,22.8,83,81,71.7,7,8.22,20,1.89,141.0089655,2.520795677
,29,23.4,85,85,200.4,11,8.23,20,2.02,142.0032861,3.148694611
,26.4,23.1,88,91,390.3,13,4.45,10,2.23,101.1385662,4.39282666
,25.7,21.4,87,89,869,31,3.01,5,2.46,93.4802896,3.898753926
,26.2,21.6,86,86,627,30,3.86,7,2.28,100.2724867,3.749432133
,28.4,21.7,82,77,51,8,6.31,17,1.81,119.480794,2.517303283
,27.4,21.6,85,84,157,13,7.52,16,1.97,119.9762372,3.153151836
,27.4,19.9,83,79,131,7,6.94,19,1.9,104.2860625,2.207614261
,28.3,18.8,80,66,0,0,6.75,31,1.64,103.8197714,1.318611404
,28.5,17.5,79,58,0,0,6.59,31,1.54,104.712336,0.92519209
,31.1,20.8,79,55,0,0,8.77,28,1.5,120.775964,1.070612507
,35.2,22.5,80,42,0,0,8.04,31,1.37,153.3684593,0.718562791
,31.4,23.4,81,71,113.7,11,8.51,21,1.76,151.1271443,1.873785769
,28.3,22.8,85,85,74.8,7,7.53,21,1.94,135.4545415,3.288737796
,26.3,21.8,87,89,175.5,24,4.82,13,2.07,103.2395001,3.838333875
,25.8,21.6,87,88,659,23,3.97,9,2.34,99.37955741,3.999131284
,26.1,21.7,86,87,714,28,4.27,6,2.35,103.3662023,3.907604686
,27.1,21.7,85,84,258,19,6.12,12,2.04,112.9607258,3.380214983
,27.8,20.7,83,81,119,13,7.87,15,1.91,123.6819952,2.410858932
,28.6,20.3,82,76,335,9,7.05,16,1.97,109.4462381,1.810652406
,28.9,18.1,79,60,0,0,5.66,31,1.56,100.1045787,0.96664434
,30.3,16.9,79,51,0,0,6.9,31,1.45,110.9729771,0.698615723
,30.7,19.6,79,54,0,0,7.95,28,1.49,115.3923345,0.908012209
,32.7,22.9,79,53,27.1,2,7.97,23,1.49,147.1121524,1.200708172
,29.8,22.9,82,76,149.7,9,8.51,20,1.85,144.9186506,2.529066589
,28.1,22.8,85,86,59.3,6,7.19,21,1.96,131.5607483,3.457969213
,26.5,22.7,87,89,262,13,5,16,2.12,105.4590114,4.226599586
,25.5,21.3,88,90,728,29,3.45,7,2.4,94.44631954,4.029147366
,26.2,21.3,86,87,580,22,4.69,8,2.27,106.1536905,3.674916958
,26.7,21.4,86,87,149,13,6.53,16,2.03,113.5599117,3.494048615
,27.3,20.6,85,84,491,21,8.01,13,2.18,122.0235319,2.711725987
,28.2,19.7,82,77,30,3,6.54,20,1.8,104.095216,1.785166766
,29,18.8,80,70,26,3,6.5,22,1.7,104.7974198,1.168237871
,29.2,18.4,79,65,11.6,1,7.39,22,1.63,112.1944126,1.020933693
,30.6,20.5,79,64,0,0,8.61,28,1.61,120.8366421,1.192190119
,32.2,21.3,79,60,84.2,4,8.09,23,1.61,147.8747077,0.955271656
,28.6,21.8,84,83,100.6,6,8.22,20,1.94,136.9841523,2.609899666
,27.7,21.5,86,88,111.9,4,7.1,22,2.01,128.0078136,2.922917213
,26.4,21,87,88,721.1,25,4.15,9,2.36,99.01712576,3.374721327
,26.4,20.6,86,85,1356,29,3.18,1,2.69,97.71397134,3.124502307
,27,20.5,85,84,556.7,26,4.5,8,2.21,107.3557439,2.717378674
,28.9,21.4,81,73,215.1,11,5.8,14,1.85,118.6644916,2.191506942
,27.4,20.3,85,85,336.3,17,8.13,16,2.11,123.5513771,2.502347129
,28.5,18.9,82,76,40.5,2,6.72,21,1.79,105.8329849,1.369394962
,29.8,17.8,79,58,0,0,6.82,31,1.53,107.4003257,0.845945604
,29.1,19.1,79,65,18,3,7.56,22,1.62,111.992117,1.362790927
,32,21.5,79,55,0,0,8.14,28,1.5,120.8931067,1.244688021
,33.2,22.5,79,53,0,0,8.15,31,1.47,150.1229117,1.196248461
,31.5,22.9,81,71,88.6,6,8.84,22,1.75,152.7992785,2.017252186
,28.8,22.9,83,79,138.2,14,6.62,19,1.9,131.6838963,3.45438759
,26.8,22.5,86,88,125,16,5.02,16,2.03,107.0437398,4.220994786
,26.1,21.7,87,88,821.4,31,4.31,6,2.42,102.4812055,4.200629624
,27.1,21.7,85,85,353.7,25,4.88,11,2.11,110.7629531,3.789059789
,27.1,21.5,84,82,330.7,14,5.53,14,2.05,110.2616345,3.737182832
,27.2,21.5,85,85,76.4,16,7.54,20,1.95,118.799223,3.737323881
,28,20.1,82,78,21.5,6,8.7,20,1.82,115.4904283,2.708947601
,29.3,18.6,79,58,0,0,6.57,31,1.54,103.456029,1.541769155
124,33.5,19.9,65,37,0,0,7.39,31,1.14,121.9027753,0.892234121
123,34.7,20.6,70,37,0,0,7.79,28,1.2,125.6321234,0.846982932
149,37.5,22.3,67,33,10.8,2,8.29,23,1.12,161.8279371,0.751468468
203,37.6,22.6,78,47,70.8,5,8.08,21,1.44,164.6785989,0.765890654
224,37.4,22.6,77,48,54.6,5,6.42,22,1.43,158.3016674,0.779166987
204,31.7,19.9,92,70,463.7,16,4.9,13,2.08,117.736939,1.298027862
245,29,18.4,92,84,807,25,3.72,10,2.43,103.9059212,1.727181018
193,29,18.5,96,83,659.9,31,4.46,7,2.38,101.8694959,1.8139102
205,32.5,20.1,95,75,212.8,20,5.89,15,2.03,118.4889841,1.255968098
220,31.7,19.5,92,78,116.8,9,7.34,18,1.97,125.7366976,1.376471555
242,33.5,20.3,79,57,14.4,4,7.42,20,1.53,124.2020802,1.177583399
190,32,18.9,77,45,19.9,4,6.48,19,1.38,111.2646277,1.262378414
145,33.8,19.7,75,38,0.8,1,7.72,29,1.27,124.052132,1.098305149
166,35.8,20.8,56,30,0,0,8.83,28,0.96,131.4381187,0.971992878
194,38,22.4,65,30,49.8,3,8.92,30,1.09,168.6496909,0.892849368
256,37.1,21.9,73,44,66.6,8,8.38,29,1.35,166.5296718,0.929570045
296,36.5,22.2,81,49,38.6,4,7.37,28,1.48,160.9031926,1.05095825
266,32.1,20.2,84,74,752.9,15,5.12,18,2.2,128.6354666,1.630769317
189,29.4,18.9,96,86,1218.5,31,2.55,3,2.73,93.02452121,2.114421743
193,27.9,18.1,95,88,946.9,31,3,5,2.59,90.5812679,2.382711841
232,31.7,19.6,89,72,121.9,17,6.34,23,1.87,122.6068072,1.528915804
298,33.1,20.6,88,67,129.6,15,7.84,25,1.81,137.2346181,1.430868296
294,30.7,19.2,91,70,105.2,11,7.38,23,1.86,110.3040567,1.777141897
273,31.8,19.8,90,62,59.4,6,7.55,28,1.74,110.799561,1.627324258
225,33.5,20,78,48,0,1,7.52,31,1.41,123.9149748,1.221641417
193,34,20.2,79,44,0,0,8.49,28,1.38,127.8150768,1.143487879
201,36.5,21.8,79,40,0.8,3,8.91,30,1.33,162.8254018,0.965971784
235,38,23.4,89,47,48.3,8,8.67,29,1.55,166.9645018,0.959298433
308,35.7,22.4,87,58,144,4,7.43,28,1.71,158.2757793,1.172897709
294,30.8,19.7,92,77,676.7,15,4.57,18,2.28,113.0415393,1.788857146
202,27.8,17.6,94,80,947.6,31,3.6,3,2.49,97.21703831,2.102365237
246,28.5,18.5,94,80,492.5,31,5.14,5,2.23,107.2488902,2.160171382
205,29.9,19.1,90,78,403.5,17,6,23,2.11,115.8075177,1.84825077
224,30.6,18.8,90,69,161.6,15,7.14,25,1.87,121.8786705,1.520357526
250,31.5,18.9,90,60,64.9,11,7.72,23,1.72,114.5710566,1.31187164
233,31,18.4,80,61,6.1,6,6.78,28,1.58,111.0966561,1.327804213
167,31.5,18.1,71,42,0,0,7.85,31,1.27,120.0785649,1.142567285
152,33.7,20.2,72,39,0,0,7.64,28,1.24,121.3558016,1.127309642
197,36.7,22,87,38,3,1,8.6,30,1.4,159.6806271,0.913762512
198,35.7,21.7,86,49,17.3,3,7.05,29,1.52,149.0427703,1.007217649
232,31.1,19.7,81,67,294.3,28,5.72,19,1.82,134.7831403,1.651464822
282,29,18.6,91,76,472.4,26,4.04,18,2.14,103.0652186,1.994519171
227,27.2,17.7,93,88,1171,31,3.06,7,2.69,92.59343863,2.341305565
162,27.8,18.1,92,86,465.3,27,4.2,12,2.26,101.076254,2.245531075
270,29.6,18.9,90,78,176.9,20,5.11,16,1.98,108.086296,1.853064869
277,30.5,19.4,89,73,526.7,22,7.55,16,2.11,126.0031807,1.725047023
337,30.3,18.8,84,76,0,0,7.01,30,1.79,111.2164987,1.618136674
236,31.6,18.8,78,53,6.3,1,6.64,28,1.47,110.6070752,1.259126953
175,32.8,19.7,79,43,0,0,7.05,31,1.37,117.952043,1.188962754
182,33.2,20,83,43,0,0,8.35,28,1.41,123.2092681,1.164137134
185,35.8,21.5,78,37,0,0,6.68,31,1.29,143.7450191,0.945424922
220,35.6,21.7,86,43,79.4,10,8.12,28,1.49,155.3513029,0.988218642
266,33.7,21.2,84,59,59.5,10,6.72,29,1.64,146.3090743,1.253514738
215,29.9,19.3,92,83,653.4,29,3.33,12,2.33,100.4521352,1.843338071
191,29.5,18.9,89,85,974.2,24,3.04,8,2.5,104.2602159,1.820610911
224,28.2,18.3,91,80,780.4,26,3.79,8,2.36,101.4165627,2.109140637
193,30.7,19.5,90,76,301.9,18,6.48,18,2.03,121.1268444,1.623622854
286,30.5,19.4,89,74,192,12,7.66,24,1.94,125.834557,1.683283933
222,31.9,19.6,84,61,23.3,2,6.48,28,1.64,112.0600359,1.324650509
184,31.1,18.2,71,47,0,0,6.09,31,1.32,109.4507032,1.188265185
141,31.1,18.5,75,54,0,0,7.41,31,1.45,117.3303295,1.249895818
158,34.5,20.6,82,44,0,0,8.95,28,1.41,130.6075207,0.962466362
197,35.6,21.4,75,40,0,0,8.29,31,1.29,158.7397999,0.889513407
247,32.8,20.6,86,60,145.7,12,8.58,26,1.72,150.5160139,1.234741499
328,33.5,21.2,80,66,44.1,11,6.48,27,1.66,146.038627,1.153487388
206,29.1,19,92,79,561.7,25,3.58,16,2.23,100.1815666,1.813551847
186,27.2,18.1,92,87,665.3,31,3.03,11,2.38,93.66368464,2.203074229
168,25.6,17.3,93,91,609.8,30,3.9,12,2.41,91.19310683,2.571929328
190,30.8,19.4,88,75,184.1,18,6.84,24,1.93,124.0158587,1.346793682
284,31.2,19.8,91,76,84,10,7.89,27,1.92,128.0856981,1.379544858
264,31.7,19.7,83,65,46.8,4,8.49,29,1.69,124.3358755,1.244480776
227,31.1,18.6,70,46,0,0,6.66,31,1.3,112.4144771,1.148838947
161,31,18.6,76,47,0,0,7.96,31,1.38,119.7167634,1.183598309
197,32,19.5,77,50,66.8,3,7.38,28,1.46,116.9803009,1.151972963
227,34.5,21.3,81,53,0,0,8.35,31,1.5,153.2265725,0.982561324
228,33.3,24,75,57,44.9,5,8.81,28,1.5,159.7579849,2.172069837
260,31.8,23.6,83,56,61.7,7,6.78,28,1.59,141.8080509,2.612246795
244,26.8,20.8,88,78,298.5,22,4.83,21,2.03,104.3906877,3.637462807
244,26.5,20.6,91,74,274.3,29,3.81,18,2.01,95.75960492,3.667660593
185,24.6,20,92,82,597.5,26,3.96,15,2.29,90.50193843,4.224635258
218,27.4,19.7,92,69,115.3,12,6.61,26,1.87,109.1014506,2.825881488
321,28.7,19.7,92,66,152.1,15,7.94,25,1.86,119.1699457,2.24748647
283,28.9,17.7,90,53,4.6,1,8.14,30,1.61,109.9568451,1.435060549
210,29.2,13.1,89,48,6,1,7.24,30,1.54,104.6670332,0.7078424
144,29.8,14.8,90,50,3.5,1,7.35,30,1.57,106.3964073,0.766346672
178,32.5,17.4,90,46,0,0,8.76,28,1.52,120.2497449,0.751440038
216,34.5,18.8,88,44,2.5,1,8.79,30,1.48,152.9369925,0.711427522
218,33.8,21,89,55,67.6,7,8.74,28,1.65,151.596551,0.96031677
234,33.5,22.4,86,55,3.8,1,6.92,30,1.58,144.0671253,1.305120207
169,29.3,21.1,89,71,286.2,19,4.71,22,1.96,109.6057286,2.456341019
215,25.8,20.6,82,79,523.6,30,3.76,14,2.1,104.0330032,3.943836736
237,25.5,20.6,92,81,363,29,4.27,17,2.15,94.72330393,4.090024677
201,26.8,20.3,90,76,112.3,18,5.74,25,1.93,103.6087554,3.410989837
269,29.5,20.1,91,66,162.2,10,8.39,26,1.85,125.3790759,2.08614875
256,29.9,17.6,90,52,0,0,6.96,30,1.59,106.8325825,1.178976827
183,29.4,12.9,89,45,0,0,7.29,31,1.5,105.8096831,0.709602209
135,29.5,14.2,89,56,0,1,8.35,31,1.63,112.2931178,0.782093471
154,32.4,16.3,87,42,0,0,8.62,28,1.45,119.6528474,0.733318345
172,35,19.1,89,40,15.5,1,8.47,29,1.45,151.0843172,0.726622731
223,33.7,21.3,85,55,33.5,6,8.3,28,1.59,151.7402216,1.10880139
273,29.5,21.3,89,72,144.8,13,6.4,26,1.89,126.8573598,2.611385649
275,26.7,20.3,90,83,431.5,23,3.98,19,2.18,95.75413196,3.430175137
242,25.2,20.9,92,85,493.7,26,4.24,16,2.26,94.12454007,4.319640951
179,23.9,20.5,92,85,775.1,28,3.32,11,2.42,84.33343431,4.60647742
239,27.5,20.5,91,75,137.1,12,6.96,26,1.94,112.3756537,3.122831044
297,29,20.2,91,71,37.2,4,7.19,29,1.84,116.2979155,2.316253989
261,29.4,17.2,91,66,20.7,4,6.74,29,1.77,104.4530725,1.168807288
191,28.2,13.5,87,49,0,0,7.02,31,1.53,100.7128543,0.807382375
152,31,15,89,55,0,0,8.51,31,1.61,117.3540657,0.729644834
176,33.9,15.9,90,57,0,0,8.28,28,1.65,124.3456155,0.675281103
177,35.4,18.2,89,49,0,0,8.51,31,1.55,154.3210577,0.681489863
211,34.3,21.4,86,47,72.8,9,8.17,27,1.53,150.2193042,0.972546509
268,33.7,21.8,86,53,62.6,4,6.92,28,1.59,145.4158015,1.118677389
239,27.8,21.6,90,71,341.4,18,4.82,22,2,105.4938289,3.482775281
180,24.2,20.9,93,86,935.4,30,3.2,7,2.53,83.87681695,4.627246011
171,25.3,20.6,93,82,635.9,27,4.01,14,2.32,90.6606235,4.154291286
234,26.6,20.9,92,80,251.2,17,5.54,23,2.07,99.99620788,3.760960073
264,28.3,20.6,92,71,124.7,10,8.43,27,1.9,121.490216,2.873468455
257,27.9,18,88,66,8.6,2,7.61,29,1.73,105.2535378,1.96726774
190,29,15.6,91,48,0,0,7.64,31,1.56,103.4435739,0.985870641
160,30,14.3,89,47,0,0,7.59,31,1.53,110.7170208,0.748192377
143,31.8,13.8,88,34,0,0,7.92,28,1.37,114.1675289,0.676205085
165,33.9,18,88,40,1.8,1,8.88,30,1.44,149.0818199,0.723504897
187,35.7,21.3,86,54,3.5,1,8.37,30,1.57,156.8378631,0.797846548
181,32.7,22,87,71,173.4,8,6.28,26,1.87,138.3304306,1.487209278
233,28,21,91,76,399.9,23,4.85,19,2.1,104.4990179,3.079306905
183,25.1,21.9,93,89,847.7,31,2.51,8,2.52,81.73963791,4.65201277
181,24.9,19.7,92,82,753.7,26,4.01,12,2.38,91.1092526,3.932526531
217,27.2,21,90,86,146.3,22,5.7,23,2.06,103.9262444,3.495810283
257,29.9,20.4,88,83,30,8,7.94,28,1.93,126.3327235,1.98400235
274,29.3,19.7,92,85,155.3,9,7.65,26,2.07,108.3854351,2.0036256
225,28.2,13.7,85,80,0,0,6.06,31,1.85,101.9654971,0.796369237
169,29.8,13.4,89,73,0,0,7.43,31,1.82,111.9311133,0.700110884
155,31.3,14.3,81,39,0,0,8.3,28,1.34,116.4073401,0.685438777
186,34,18.2,88,43,0,0,8.65,31,1.47,147.7292064,0.71198655
190,35.4,22.5,89,46,36.9,5,8.75,29,1.53,156.5752876,0.945748791
248,33.6,22.4,84,50,27.8,4,6.98,29,1.52,147.0814147,1.249671564
219,28.5,21,90,72,559.4,20,4.41,18,2.13,104.4868002,2.757727247
123,25.8,21,92,81,860.5,28,2.98,10,2.43,87.35137972,4.060917718
166,25.3,20.9,92,81,782.2,27,3.94,11,2.38,92.04798956,4.230921147
215,25.9,20.8,91,80,407.1,27,5.33,17,2.15,97.79032366,3.963163345
232,29,20.3,91,69,127.5,13,7.67,26,1.87,119.4371211,2.275622377
241,28.9,16.6,89,59,20.3,1,8.15,29,1.67,110.8662837,1.072513514
191,28,16.1,86,46,1,1,6.63,30,1.48,98.25499769,1.215477705
186,28.9,12.7,89,48,0,0,8.32,31,1.54,111.364295,0.699730716
307,28.9,17.1,89,50,57.3,4,8.75,28,1.59,109.9178551,1.264207288
283,30.9,18.7,89,50,171.7,11,8.07,26,1.65,134.4497233,1.119037819
320,32.7,20.3,91,62,66.6,6,8.44,28,1.75,144.044245,1.002802176
301,31.6,21.7,87,56,31.8,4,7.26,29,1.62,140.0256678,1.653641557
241,27.2,21.1,90,77,386.7,26,5,18,2.09,104.1249495,3.43784438
225,25.6,20.9,92,81,660.2,28,4.54,13,2.31,96.89711119,4.083899099
167,25.3,20.6,93,83,930.9,27,5.24,9,2.5,98.75721493,4.071248647
271,27.1,20.4,92,74,229.9,19,6.25,23,1.99,105.8736351,3.100606122
284,28.9,20.6,90,63,78,11,8.26,27,1.76,123.9356973,2.331822587
300,28.8,17,89,55,22.4,4,8.85,29,1.63,114.1161233,1.092170676
239,28.5,15.4,88,47,0,0,8.56,31,1.51,107.8737079,0.892284518
152,30.1,14,85,48,0,0,8.57,31,1.49,116.7651918,0.689896131
148,32.3,16.2,88,58,0,0,8.59,28,1.64,120.9678628,0.686475389
217,33.3,19.5,90,44,92.9,11,8.62,27,1.55,145.8663721,0.793732521
257,33.7,22,90,49,20.4,4,8.25,29,1.57,146.7881995,1.067861727
256,32.4,21.8,88,54,52.9,4,7.57,29,1.62,144.5495391,1.320610779
270,29.1,21.3,89,73,198.3,18,5.76,24,1.93,115.851166,2.497431709
196,24.4,21.2,93,88,1265.7,31,3.64,2,2.74,86.46154548,4.615229328
221,26.5,21.5,91,78,448.2,30,5.22,15,2.15,104.5754167,3.91630643
